time/ms;on
413418;0
413698;1
414253;0
414950;1
416014;0
416835;1
416958;0
417172;1
417827;0
418262;1
419377;0
420363;1
421316;0
422067;1
423042;0
424168;1
424270;0
424492;1
424942;0
425337;1
425475;0
425986;1
426589;0
427720;1
428038;0
429191;1
429626;0
430305;1
430962;0
431436;1
431565;0
432689;1
433419;0
433889;1
434963;0
435518;1
436345;0
437098;1
438227;0
438762;1
439900;0
440551;1
441347;0
442321;1
443116;0
443855;1
444202;0
445245;1
446059;0
446818;1
447059;0
447318;1
447720;0
448623;1
449355;0
450241;1
450821;0
451459;1
452615;0
453155;1
453711;0
454619;1
455105;0
455245;1
456124;0
457038;1
457944;0
458111;1
458613;0
459099;1
459324;0
460473;1
460647;0
461457;1
462504;0
463429;1
463648;0
464841;1
465427;0
466441;1
467222;0
467454;1
468022;0
468992;1
469873;0
470420;1
471593;0
472438;1
473370;0
474137;1
474401;0
474938;1
475656;0
475851;1
476142;0
477128;1
477406;0
477759;1
478599;0
479160;1
480264;0
481375;1
482163;0
482444;1
482809;0
483157;1
484124;0
484618;1
485439;0
485807;1
486996;0
487990;1
488646;0
489673;1
489821;0
490805;1
491014;0
491692;1
492460;0
492630;1
493035;0
494132;1
495321;0
495757;1
496593;0
497316;1
498140;0
498266;1
499000;0
499531;1
500012;0
500593;1
500796;0
501654;1
502382;0
502498;1
503198;0
503633;1
503939;0
504759;1
505538;0
506184;1
507295;0
507920;1
508882;0
509980;1
511173;0
511941;1
513024;0
513800;1
514194;0
514913;1
515779;0
516558;1
517029;0
518122;1
518895;0
519422;1
519682;0
520391;1
521274;0
521646;1
521876;0
522323;1
523038;0
523248;1
524107;0
524225;1
524866;0
525193;1
525822;0
526389;1
527339;0
528025;1
529208;0
530014;1
530720;0
531889;1
532908;0
533885;1
534868;0
535953;1
536645;0
536990;1
537312;0
538156;1
538963;0
539644;1
540412;0
541384;1
542069;0
542708;1
543468;0
543636;1
543776;0
544872;1
546007;0
547006;1
547528;0
548588;1
549480;0
550362;1
551073;0
551998;1
553150;0
554285;1
554857;0
556000;1
556528;0
556952;1
558057;0
559208;1
559311;0
559569;1
560304;0
