time/ms;on
413433;0
413713;1
414268;0
414965;1
416029;0
416850;1
416973;0
417187;1
417842;0
418277;1
419392;0
420378;1
421331;0
422082;1
423057;0
424183;1
424285;0
424507;1
424957;0
425352;1
425490;0
426001;1
426604;0
427735;1
428054;0
429206;1
429641;0
430320;1
430977;0
431451;1
431580;0
432704;1
433434;0
433904;1
434978;0
435533;1
436360;0
437113;1
438243;0
438777;1
439915;0
440566;1
441362;0
442336;1
443131;0
443870;1
444217;0
445260;1
446074;0
446833;1
447074;0
447333;1
447735;0
448638;1
449370;0
450256;1
450836;0
451475;1
452630;0
453170;1
453726;0
454634;1
455120;0
455260;1
456139;0
457052;1
457959;0
458126;1
458628;0
459113;1
459339;0
460488;1
460662;0
461472;1
462519;0
463444;1
463663;0
464856;1
465442;0
466456;1
467237;0
467469;1
468037;0
469007;1
469888;0
470435;1
471608;0
472453;1
473385;0
474152;1
474416;0
474953;1
475671;0
475866;1
476158;0
477143;1
477421;0
477774;1
478614;0
479175;1
480279;0
481390;1
482178;0
482459;1
482824;0
483172;1
484139;0
484633;1
485454;0
485822;1
487011;0
488005;1
488661;0
489688;1
489836;0
490820;1
491029;0
491707;1
492475;0
492645;1
493049;0
494147;1
495336;0
495772;1
496608;0
497331;1
498155;0
498281;1
499015;0
499547;1
500027;0
500608;1
500811;0
501669;1
502397;0
502513;1
503214;0
503648;1
503953;0
504774;1
505553;0
506199;1
507310;0
507935;1
508897;0
509995;1
511188;0
511956;1
513039;0
513815;1
514209;0
514928;1
515795;0
516574;1
517044;0
518137;1
518910;0
519436;1
519697;0
520406;1
521289;0
521661;1
521891;0
522338;1
523053;0
523263;1
524123;0
524240;1
524881;0
525208;1
525838;0
526404;1
527354;0
528040;1
529223;0
530029;1
530735;0
531904;1
532923;0
533900;1
534883;0
535968;1
536660;0
537006;1
537327;0
538171;1
538978;0
539659;1
540427;0
541399;1
542084;0
542723;1
543483;0
543651;1
543791;0
544887;1
546022;0
547021;1
547543;0
548603;1
549495;0
550377;1
551088;0
552013;1
553166;0
554300;1
554872;0
556015;1
556543;0
556967;1
558072;0
559223;1
559326;0
